LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;94
Segment;TrigTime;TimeSinceSegment1
#1;29-Oct-2018 10:45:57;0                 
Time;Ampl
-2.76e-007;0
-2.56e-007;0
-2.36e-007;0
-2.16e-007;0
-1.96e-007;0
-1.76e-007;0
-1.56e-007;0
-1.36e-007;0
-1.16e-007;0
-9.6e-008;0
-7.6e-008;0
-5.6e-008;0
-3.6e-008;0
-1.6e-008;0
4e-009;0
2.4e-008;0
4.4e-008;0
6.4e-008;0
8.4e-008;0
1.04e-007;1
1.24e-007;0
1.44e-007;0
1.64e-007;0
1.84e-007;0
2.04e-007;0
2.24e-007;0
2.44e-007;0
2.64e-007;0
2.84e-007;0
3.04e-007;0
3.24e-007;0
3.44e-007;1
3.64e-007;0
3.84e-007;0
4.04e-007;0
4.24e-007;0
4.44e-007;0
4.64e-007;0
4.84e-007;0
5.04e-007;0
5.24e-007;0
5.44e-007;0
5.64e-007;0
5.84e-007;0
6.04e-007;0
6.24e-007;0
6.44e-007;1
6.64e-007;0
6.84e-007;0
7.04e-007;1
7.24e-007;0
7.44e-007;0
7.64e-007;0
7.84e-007;0
8.04e-007;0
8.24e-007;0
8.44e-007;0
8.64e-007;0
8.84e-007;0
9.04e-007;0
9.24e-007;0
9.44e-007;0
9.64e-007;0
9.84e-007;0
1e-006;0
1.02e-006;0
1.04e-006;0
1.06e-006;0
1.08e-006;0
1.1e-006;0
1.12e-006;0
1.14e-006;0
1.16e-006;0
1.18e-006;0
1.2e-006;0
1.22e-006;0
1.24e-006;0
1.26e-006;0
1.28e-006;0
1.3e-006;0
1.32e-006;0
1.34e-006;0
1.36e-006;0
1.38e-006;0
1.4e-006;0
1.42e-006;0
1.44e-006;0
1.46e-006;0
1.48e-006;0
1.5e-006;0
1.52e-006;0
1.54e-006;0
1.56e-006;0
1.58e-006;0
