LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;75
Segment;TrigTime;TimeSinceSegment1
#1;03-Dec-2018 05:27:36;0                 
Time;Ampl
-1.04e-006;0
-8.4e-007;0
-6.4e-007;0
-4.4e-007;0
-2.4e-007;0
-4e-008;1790
1.6e-007;2091
3.6e-007;1601
5.6e-007;24499
7.6e-007;5489
9.6e-007;1931
1.16e-006;2797
1.36e-006;2050
1.56e-006;1039
1.76e-006;848
1.96e-006;735
2.16e-006;597
2.36e-006;577
2.56e-006;510
2.76e-006;462
2.96e-006;434
3.16e-006;384
3.36e-006;337
3.56e-006;286
3.76e-006;283
3.96e-006;251
4.16e-006;248
4.36e-006;219
4.56e-006;220
4.76e-006;191
4.96e-006;161
5.16e-006;160
5.36e-006;154
5.56e-006;138
5.76e-006;104
5.96e-006;106
6.16e-006;115
6.36e-006;87
6.56e-006;78
6.76e-006;82
6.96e-006;68
7.16e-006;66
7.36e-006;65
7.56e-006;55
7.76e-006;54
7.96e-006;47
8.16e-006;37
8.36e-006;40
8.56e-006;38
8.76e-006;31
8.96e-006;36
9.16e-006;25
9.36e-006;25
9.56e-006;18
9.76e-006;32
9.96e-006;17
1.02e-005;20
1.04e-005;23
1.06e-005;3
1.08e-005;0
1.1e-005;0
1.12e-005;0
1.14e-005;0
1.16e-005;0
1.18e-005;0
1.2e-005;0
1.22e-005;0
1.24e-005;0
1.26e-005;0
1.28e-005;0
1.3e-005;0
1.32e-005;0
1.34e-005;0
1.36e-005;0
1.38e-005;0
